cid,doctor,geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122201,"Warren David Inge, DDS","Covington, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122203,"Scott A. Brundrett, DDS","Carrollton, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122207,"Juan E. Reid, DDS","Columbus, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122209,"Olajumoke O. Adedoyin, DDS","Cartersville, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122211,"James J. Goodpaster, DMD","Bloomington, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122214,"Linda S. Wick, DDS","Franklin, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122218,"Kenneth D. Garrett, DDS","Muncie, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122221,"Rudy E. Bianco, DDS","Mishawaka, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122230,"Mark H. Cleary, DDS","Zanesville, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122240,"John H. Knowles, DDS","Wichita Falls, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122248,"Andrew Winslow McDaniel, DMD","Lubbock, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122251,"Raeline K. McIntyre, DMD","Gulfport, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122254,"Marshall J. Belmer, DDS","Orland Park, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122255,"Rebecca J. Swenson, DDS","Green Bay, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122256,"Eric J. DeShazer, DDS","Lincoln, NE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122259,"Jon Craig Munoz, DDS","West Des Moines, IA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122261,"Charles Meyer Gooss, DMD","Yakima, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122268,"Gary R. Herron II, DDS","Albuquerque, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124893,"Shaun O'Hearn, DDS","Asheville, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124898,"Carl A. Gentry, DDS","Fayetteville, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124899,"Ward S. Lambeth, DDS","Colfax, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124900,"Robin Edwards, DDS","Kinston, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124901,"Bruce Gray, DDS","Durham, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124902,"Walter J. Wulf, DDS","Wilmington, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124903,"Larissa M. Mastro, DDS","Conover, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124904,"Kay Wiles, DDS","Jackson, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124905,"Rupinder Mann, DMD","Harrisburg, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124906,"Steven Krahl, DMD","Wilkes-Barre, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124907,Ramesh M. Shah,"Philadelphia, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124908,"Michelle Lynn Aitken, DDS","West Collingswood Heights, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124909,"Hye-Eun Grace Kim, DMD","Ewing, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124910,"Michelle Lynn Aitken, DDS","Vineland, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124912,"Jeffrey Lee Martin, DDS","Shreveport, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124913,"Donovan J. Smith, DDS","Scott, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124914,"Corey A. Robertson, DDS","Baton Rouge, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124915,"Jeetendra S. Patel, DDS","Monroe, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124916,"Marcus K. Jackson, DDS","Metairie, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124917,"Valerie H. Washington, DDS","Pineville, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124918,"Tommy Hillman, DDS","Lake Charles, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124919,"Charles Coleman, DMD","Covington, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124920,"Blake G. Sinclair, DDS","Nacogdoches, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124921,"Cameron K. Blair, DDS","Mesquite, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124922,"Chukym Alexis-Johnson, DDS","Vestal, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124923,"Gloria V. Williams, DDS","Albany, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124924,"Edward Huddleston III, DDS","Rochester, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124925,"P. Hiram Rodriguez, DDS","Bakersfield, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124926,"Caroline Le, DDS","Redlands, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124929,"Farhad Kiani, DDS","Jackson, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124930,"Patricia Bezad, DMD","Yuba City, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124932,"Marino Alea Iglesias, DDS","Tracy, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124933,"Talya Mintz, DDS","Rochester, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124934,"Mayra Soler, DDS","Brooklyn Park, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124935,"Frank Gerber, BChD","Duluth, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124936,"David R. Hudnall, DMD","Greenville, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124937,"David R. Hudnall, DMD","Anderson, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124938,"David R. Hudnall, DMD","Greenwood, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124939,"Cher Y. Chang, DMD","Las Vegas, NV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144391,"Michael D. Harris, DMD","Springfield, OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146420,"Anne Steinberg, DMD","Boise, ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149314,"Danny Truong, DDS","El Cajon, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152848,"Jeffrey L. Martin, DDS","Texarkana, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156014,"C. Gregory Martin, DDS","Charlotte, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156024,"Dennis D. Gaskin, DDS","Moyock, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156025,"Steven M. Hedges, DMD","Chester, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156026,"John J. Doyle, DDS","Rocky Gap, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156027,"Eric Y. Lee, DDS","Winchester, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156063,"Mesfin W. Zelleke, DDS","Woodbridge, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156064,"Lynne C. Faxio, DDS","Suffolk, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156065,"Dennis D. Gaskin, DDS","Virginia Beach, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156068,"James I. Vinson, DDS","Cookeville, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156071,"Michael E. Doyle, DDS","Loudon, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156074,"Patrick J. McNamara, DDS","Chattanooga, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156075,"Harold G. Speer Jr., DDS","Burns, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156076,"Andrew M. Burton III, DDS","Nashville, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156078,"Grace E. Speer, DDS","Memphis, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156083,"Stephen Rogers Daniel, DDS","Morristown, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156086,"Marvo C. Odds, DDS","Shelbyville, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156092,"Rodney Alan Stevens, DMD","Florence, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156094,"Anna K. Miller, DMD","Richmond, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156095,"Larry D. Thomas, DMD","Shepherdsville, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156096,"Gerald L. Fairchild, DMD","Morehead, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156097,"Rita Bobb-Rollins, DDS","Bridgeport, WV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156098,"Marian A. Bryant, DMD","Madison, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156101,"Robert M. Gaskin, DDS","Montgomery, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156106,"Shai H. Miles, DDS","Dothan, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156107,"Katherine W. Merrill, DMD","Florence, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156109,"Kevin D. Hancock, DMD","Tuscaloosa, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156113,"Timmi J. Hagan, DMD","Macon, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156116,"Christopher Selders, DDS","Pooler, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156120,"Deborah Ann Beal, DDS","Albany, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156122,"Oletha Simmons, DDS","LaGrange, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156125,"Christopher Nigh, DDS","Evansville, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156126,"Glen D. Middaugh, DDS","Terre Haute, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156131,"Dawn J. Benson, DDS","Fort Wayne, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156133,"David J. Bruns, DDS","Lafayette, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156135,"Magali Padilla-Zapata, DMD","Lima, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156136,"Stephen C. Durham, DMD","Franklin, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156138,"Joseph B. Walton, DDS","Chillicothe, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156143,"Todd N. Corbitt, DDS","Columbus, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156144,"Eric L. Snyder, DMD","Poland, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156145,"Ruby E. Fifer, DDS","Sylvania, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156146,"Leotis Richardson III, DDS","Conway, AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156148,"Marino Alea Iglesias, DDS","Little Rock, AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156149,"Anthony F. Williams, DDS","Independence, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156150,"Karen T. Mays, DDS","Columbia, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156151,Dr. Mark L. Trulsson,"Saint Joseph, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156152,"Christopher A. Parks, DDS","Sullivan, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156153,"DeAndrae W. Alexander, DDS","Austin, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156156,"Jay Quigley, DDS","Beaumont, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156157,"Jayesh S. Patel, DDS","Waco, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156159,"James J. Kloer, DDS","Odessa, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156163,"Mimi Butterfly Harmon, DDS","Amarillo, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156165,"Blake G. Sinclair, DDS","Tyler, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156167,"Richard A. Wilson, DDS","Conroe, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156168,"Sandhya R. Kondapaneni , DDS","Sugarland, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156170,"Jeanine Eaton, DDS","Friendswood, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156171,"Carlos A. Valladares, DDS","New Braunfels, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156172,"Joyce Marie Byrd, DDS","Flowood, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156176,"James A. Jones, DDS","Tupelo, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156178,"Reuben R. Little II, DDS","Meridian, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156181,"Stephanie A. Campbell, DDS","Lansing, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156184,"Shawn A. May, DDS","Forsyth, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156186,"Steven R. Pletscher, DDS","East Moline, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156189,"Leif Engles, DDS","Litchfield, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156191,"Jeff Turner, DDS","Pensacola, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156194,"Carlo Joseph Rumbolo, DMD","Fort Myers, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156196,"Stephan M. Showstark, DMD","Gainesville, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156200,"Jase R. Hackney, DMD","Tampa, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156202,"Craig A. Smith, DMD","Ocoee, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156204,"Gust G. Kapetan, DMD","Port St. Lucie, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156206,"Gust G. Kapetan, DMD","West Palm Beach, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156209,"Cesar M. Pareja, DMD","West Melbourne, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156211,"Charles R. Gillam, DMD","Sarasota, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156214,"Adrian A. Attkisson, DMD","Jacksonville, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156216,"Jeffrey Friefeld, DDS","Pembroke Pines, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156217,"Rollins L. Clary, DMD","Daytona Beach, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156218,"T.V. Pham, DMD","Lakeland, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156220,"James P. Muir, DDS","Weeki Wachee, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156221,"William C. Knapke, DDS","Panama City, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156222,"Marc A. Sander, DDS","Avon Park, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156225,"Daniel A. Martin, DMD","South Burlington, VT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156226,"Donald A. Kraut, DDS","Madison, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156227,"Jeffery J. Becker, DDS","Milwaukee, WI ’_, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156231,"Phillip Douglas, DDS","Eau Claire, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156233,"Carl Martin Kendrick Jr, DMD","Sioux City, IA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156235,"Janet S. Tresnak, DDS","Cedar Rapids, IA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156237,"Lisa D. Patrick, DDS","Salisbury, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156239,"Tammy J. Clifford, DDS","Greenville (office is in Smithfield), RI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156241,"James K. Thornton, DMD","Myrtle Beach, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156242,"J.E. Cauley, DMD","North Charleston, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156244,"David R. Hudnall, DMD","Columbia, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156245,"Cemeron L. Longstreet, DDS","Rock Hill, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156250,"Willam M. Wilden, DDS","Spokane Valley, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156254,"Beverly Goodman, DDS","Tacoma, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156257,"Keith Salvatori, DMD","Burlington, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156258,"Sibera Troy Brannon, DDS","Sun City, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156260,"Mun Jun Choi, DDS","Colorado Springs, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156261,"Annette M. Pearson, DDS","Wilsonville, OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156264,"Tiana Hall, DDS","Riverdale, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156265,"J. David Adams, DMD","American Fork, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156268,"Changa H. Cannon, DDS","Tulsa, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156269,"David N. Wexler, DDS","Topeka, KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156578,"Yolanda C. Robinson, DDS","South Hill, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
