National Type,Sales Rep,Account Name,Business Name,Corporate Account,Segment,First ,Last,Email,Primary Phone,Products,Site Type,Existing Domain,Sponsored Budget, Yodle Web , Organic Fee , Account Setup,Payment Type,Address 1,Address 2,City,State,Zip,Address Display,Template ID,Service Group,Mobile Logo,Franchise Location ID,Lead Destination Email,Lead Destination Number,Web Address for Distribution,Web Address for Ad Copy (Display URL),Record Calls? (Yes/No),Whisper? (Yes/No),Tagline,Business description,Show Hours on Website? (Yes/No),Emergency Services Available 24/7? (Yes/No),Open 24/7? (Yes/No),Monday? ,Monday Open,Monday Closed,Tuesay?,Tuesday Open,Tuesday Closed,Wednesday,Wednesday Open,Wednesday Closed,Thursday?,Thursday Open,Thursday Closed,Friday? ,Friday Open,Friday Closed,Saturday? ,Saturday Open,Saturday Closed,Sunday?,Sunday Open,Sunday Closed,Cash,MasterCard,Visa,Discover,CareCredit,Mobile/Stationary,Area Served Description,Custom Campaign Notes,Include a Name Campaign? (Yes/No),CSC Completed Date,IMS Projected Launch Date,Field Entry,Descroption of Business,URL of Existing Website Containing Copy,Organic Domain,Unique Selling Propositions,Notes,Web Address Client-Side,Web Address for Advertising
Corporate Spend,Ari Katz,Affordable Dentures - Chattanooga,Affordable Dentures,Affordable Dentures,Dentist,Patrick,"J. McNamara, DDS ",ad123@ad123.com,(423) 894-9179,"Sponsored, Organic",AdverSite,,$875.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,7611 Hamilton Park Drive,,Chattanooga,TN,37421,Show Full Address,2139,Dentures,logo.png,3020,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-Chattanooga.com,affordabledentures-Chattanooga.com,Yes,No,"Affordable Dentures - Chattanooga, P.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Chattanooga, TN and opened in 1993.",Yes,No,No,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,4:00 AM,Yes,Yes,Yes,Yes,yes,Stationary,"Chattanooga, TN",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/chattanooga,affordabledentures.com/office/chattanooga,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/chattanooga,affordabledentures-Chattanooga.com
Corporate Spend,Ari Katz,Affordable Dentures - Dickson,Affordable Dentures,Affordable Dentures,Dentist,Harold,"G. Speer, Jr., DDS",ad123@ad123.com,(615) 441-3678,"Sponsored, Organic",AdverSite,,$575.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,201 Gum Branch Road,,Burns,TN,37029,Show Full Address,2139,Dentures,logo.png,3021,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-Dickson.com,affordabledentures-Dickson.com,Yes,No,"Affordable Dentures - Dickson, P.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Dickson, TN and opened in 1994. ",Yes,No,No,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,5:00 AM,Yes,Yes,Yes,Yes,yes,Stationary,"Dickson, TN",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/dickson-burns,affordabledentures.com/office/dickson-burns,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/dickson-burns,affordabledentures-Dickson.com
Corporate Spend,Ari Katz,Affordable Dentures - Nashville,Affordable Dentures,Affordable Dentures,Dentist,Andrew,"M. Burton, III, DDS",ad123@ad123.com,(615) 871-9339,"Sponsored, Organic",AdverSite,,$975.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,932 Allen Road,,Nashville,TN,37214,Show Full Address,2139,Dentures,logo.png,3067,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-Nashville.com,affordabledentures-Nashville.com,Yes,No,"Affordable Dentures-Nashville, P.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Nashville, TN and opened in 2001.",Yes,No,No,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,6:00 AM,Yes,Yes,Yes,Yes,yes,Stationary,"Nashville, TN",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/nashville,affordabledentures.com/office/nashville,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/nashville,affordabledentures-Nashville.com
Corporate Spend,Ari Katz,Affordable Dentures - Memphis,Affordable Dentures,Affordable Dentures,Dentist,Grace,"E. Speer, DDS ",ad123@ad123.com,(901) 320-9301,"Sponsored, Organic",AdverSite,,$875.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,3481 Poplar Avenue,University Center,Memphis,TN,38111,Show Full Address,2139,Dentures,logo.png,3074,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-Memphis.com,affordabledentures-Memphis.com,Yes,No,"Affordable Dentures - Memphis, P.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Memphis, TN and opened in 2002. ",Yes,No,No,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,7:00 AM,Yes,Yes,Yes,Yes,yes,Stationary,"Memphis, TN",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/memphis,affordabledentures.com/office/memphis,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/memphis,affordabledentures-Memphis.com
Corporate Spend,Ari Katz,Affordable Dentures - Morristown,Affordable Dentures,Affordable Dentures,Dentist,Stephen,"R. Daniel, DDS ",ad123@ad123.com,(423) 587-0596,"Sponsored, Organic",AdverSite,,$575.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,219 E. Morris Blvd,Sherwood Commons,Morristown,TN,37813,Show Full Address,2139,Dentures,logo.png,3158,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-Morristown.com,affordabledentures-Morristown.com,Yes,No,"Stephen Rogers Daniel, DDS, P.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Morristown, TN and opened in 2009. ",Yes,No,No,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,8:00 AM,Yes,Yes,Yes,Yes,yes,Stationary,"Morristown, TN",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/morristown,affordabledentures.com/office/morristown,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/morristown,affordabledentures-Morristown.com
Corporate Spend,Ari Katz,Affordable Dentures - Shelbyville,Affordable Dentures,Affordable Dentures,Dentist,Marvo,"Odds, DDS  ",ad123@ad123.com,(931) 680-9460,"Sponsored, Organic",AdverSite,,$575.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,1872 N. Main Street,Mane Street Centre,Shelbyville,TN,37160,Show Full Address,2139,Dentures,logo.png,3160,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-Shelbyville.com,affordabledentures-Shelbyville.com,Yes,No,"Marvo C. Odds, P.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Shelbyville, TN and opened in October 2009. ",Yes,No,No,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,9:00 AM,Yes,Yes,Yes,Yes,yes,Stationary,"Shelbyville, TN",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/shelbyville,affordabledentures.com/office/shelbyville,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/shelbyville,affordabledentures-Shelbyville.com
Corporate Spend,Ari Katz,Affordable Dentures - Knoxville ,Affordable Dentures,Affordable Dentures,Dentist,Christopher,"Brett Orr, DDS ",ad123@ad123.com,(865) 524-9020,"Sponsored, Organic",AdverSite,,$975.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,4608 Greenway Drive,,Knoxville,TN,37918,Show Full Address,2139,Dentures,logo.png,3186,Copy From Primary Contact,Copy from Primary Contact,dailydentures-knoxville.com,dailydentures-knoxville.com,Yes,No,"Christopher B. Orr, DDS, P.C.","Daily Dentures practices provide dentures, mini dental implants, tooth extractions and partial dentures that not only improve smiles, but more importantly, improve lives.",Yes,No,No,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,10:00 AM,Yes,Yes,Yes,Yes,yes,Stationary,"Knoxville, TN",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://dailydentures.com/,dailydentures.com,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,dailydentures.com,dailydentures-knoxville.com
Corporate Spend,Ari Katz,Affordable Dentures - Sevierville ,Affordable Dentures,Affordable Dentures,Dentist,Michael,"E. Doyle, DDS ",ad123@ad123.com,(865) 774-4401,"Sponsored, Organic",AdverSite,,$675.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,1436 Winfield Dunn Parkway Suite 2,,Sevierville,TN,37876,Show Full Address,2139,Dentures,logo.png,3187,Copy From Primary Contact,Copy from Primary Contact,dailydentures-sevierville.com,dailydentures-sevierville.com,Yes,No,"Michael E. Doyle, DDS, P.C.","Daily Dentures practices provide dentures, mini dental implants, tooth extractions and partial dentures that not only improve smiles, but more importantly, improve lives.",Yes,No,No,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,11:00 AM,Yes,Yes,Yes,Yes,yes,Stationary,"Sevierville, TN",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://dailydentures.com/,dailydentures.com,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,dailydentures.com,dailydentures-sevierville.com
Corporate Spend,Ari Katz,"Affordable Dentures - Florence, KY",Affordable Dentures,Affordable Dentures,Dentist,Rodney,"Alan Stevens, DMD ",ad123@ad123.com,(859) 282-0660,"Sponsored, Organic",AdverSite,,$675.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,7699 US 42,,Florence,KY,41042,Show Full Address,2139,Dentures,logo.png,4017,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-FlorenceKY.com,affordabledentures-FlorenceKY.com,Yes,No,"Rodney Alan Stevens, DMD, P.S.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Florence, KY and opened in 1989. ",Yes,No,No,Hours,7:00 AM,4:00 PM,Hours,7:00 AM,4:00 PM,Hours,7:00 AM,4:00 PM,Hours,7:00 AM,4:00 PM,Hours,7:00 AM,4:00 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,12:00 PM,Yes,Yes,Yes,Yes,yes,Stationary,"Florence, KY",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/florence-ky,affordabledentures.com/office/florence-ky,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/florence-ky,affordabledentures-FlorenceKY.com
Corporate Spend,Ari Katz,Affordable Dentures - Richmond,Affordable Dentures,Affordable Dentures,Dentist,Anna,"K. Miller, DMD ",ad123@ad123.com,(859) 625-1689,"Sponsored, Organic",AdverSite,,$675.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,115 North Keeneland Drive,,Richmond,KY,40475,Show Full Address,2139,Dentures,logo.png,4022,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-Richmond.com,affordabledentures-Richmond.com,Yes,No,"Anna K. Miller, DMD, P.S.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Richmond, KY and opened in 1994. ",Yes,No,No,Hours,7:00 AM,4:00 PM,Hours,7:00 AM,4:00 PM,Hours,7:00 AM,4:00 PM,Hours,7:00 AM,4:00 PM,Hours,7:00 AM,4:00 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,1:00 PM,Yes,Yes,Yes,Yes,no,Stationary,"Richmond, KY",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/richmond,affordabledentures.com/office/richmond,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/richmond,affordabledentures-Richmond.com
Corporate Spend,Ari Katz,Affordable Dentures - Hillview,Affordable Dentures,Affordable Dentures,Dentist,Larry,"D. Thomas, DMD ",ad123@ad123.com,(502) 955-6982,"Sponsored, Organic",AdverSite,,$675.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,385 Brenton Way,,Shepherdsville,KY,40165,Show Full Address,2139,Dentures,logo.png,4027,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-Hillview.com,affordabledentures-Hillview.com,Yes,No,"Larry D. Thomas, DMD, P.S.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Shepherdsville, KY and opened in 1975. ",Yes,No,No,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,2:00 PM,Yes,Yes,Yes,Yes,no,Stationary,"Hillview, KY",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/hillviewshepherdsville,affordabledentures.com/office/hillviewshepherdsville,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/hillviewshepherdsville,affordabledentures-Hillview.com
Corporate Spend,Ari Katz,Affordable Dentures - Morehead,Affordable Dentures,Affordable Dentures,Dentist,Gerald,"L. Fairchild, DMD ",ad123@ad123.com,(606) 780-0375,"Sponsored, Organic",AdverSite,,$475.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,276 Kroger Center,The Kroger Center,Morehead,KY,40351,Show Full Address,2139,Dentures,logo.png,4170,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-Morehead.com,affordabledentures-Morehead.com,Yes,No,"Dr. Gerald L. Fairchild, P.S.C.",This practice proudly provides Affordable Dentures and related denture and tooth extraction services and opened in June 2010. ,Yes,No,No,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,3:00 PM,Yes,Yes,Yes,Yes,yes,Stationary,"Morehead, KY",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/morehead-ky,affordabledentures.com/office/morehead-ky,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/morehead-ky,affordabledentures-Morehead.com
Corporate Spend,Ari Katz,Affordable Dentures - Bridgeport,Affordable Dentures,Affordable Dentures,Dentist,Rita,"Bobb-Rollins, DDS  ",ad123@ad123.com,(304) 842-1995,"Sponsored, Organic",AdverSite,,$575.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,102 Tolley Drive,,Bridgeport,WV,26330,Show Full Address,2139,Dentures,logo.png,5024,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-Bridgeport.com,affordabledentures-Bridgeport.com,Yes,No,"Rita Bobb-Rollins, DDS, Ltd.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Bridgeport, WV and opened in 1995. ",Yes,No,No,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,4:00 PM,Yes,Yes,Yes,Yes,yes,Stationary,"Bridgeport, WV",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/bridgeport,affordabledentures.com/office/bridgeport,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/bridgeport,affordabledentures-Bridgeport.com
Corporate Spend,Ari Katz,Affordable Dentures - Huntsville,Affordable Dentures,Affordable Dentures,Dentist,Marian,"A. Bryant, DMD ",ad123@ad123.com,(256) 340-0073,"Sponsored, Organic",AdverSite,,$675.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,15048 Alabama Hwy 20,,Madison,AL,35756,Show Full Address,2139,Dentures,logo.png,7023,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-Huntsville.com,affordabledentures-Huntsville.com,Yes,No,"Affordable Dentures - Huntsville, P.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Madison, AL and opened in 1994.",Yes,No,No,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,5:00 PM,Yes,Yes,Yes,Yes,no,Stationary,"Huntsville, AL",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/madison-al,affordabledentures.com/office/madison-al,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/madison-al,affordabledentures-Huntsville.com
Corporate Spend,Ari Katz,Affordable Dentures - Montgomery,Affordable Dentures,Affordable Dentures,Dentist,Robert,"M. Gaskin, DDS ",ad123@ad123.com,(334) 613-7795,"Sponsored, Organic",AdverSite,,$675.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,5011 Business Park Drive,,Montgomery,AL,36116,Show Full Address,2139,Dentures,logo.png,7034,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-Montgomery.com,affordabledentures-Montgomery.com,Yes,No,"Affordable Dentures - Montgomery, P.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Montgomery, AL and opened in 1996. ",Yes,No,No,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,6:00 PM,Yes,Yes,Yes,Yes,no,Stationary,"Montgomery, AL",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/montgomery,affordabledentures.com/office/montgomery,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/montgomery,affordabledentures-Montgomery.com
Corporate Spend,Ari Katz,Affordable Dentures - Dothan,Affordable Dentures,Affordable Dentures,Dentist,Shai,"Hall Miles, DDS ",ad123@ad123.com,(334) 702-0667,"Sponsored, Organic",AdverSite,,$575.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,2729 Ross Clark Circle,,Dothan,AL,36301,Show Full Address,2139,Dentures,logo.png,7042,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-Dothan.com,affordabledentures-Dothan.com,Yes,No,"Shai Miles, DDS, P.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Dothan, AL and opened in 1996. ",Yes,No,No,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,7:00 PM,Yes,Yes,Yes,Yes,no,Stationary,"Dothan, AL",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/dothan,affordabledentures.com/office/dothan,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/dothan,affordabledentures-Dothan.com
Corporate Spend,Ari Katz,"Affordable Dentures - Florence, AL",Affordable Dentures,Affordable Dentures,Dentist,Katherine,"Merrill, DMD  ",ad123@ad123.com,(256) 764-6091,"Sponsored, Organic",AdverSite,,$575.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,1603 N. Wood Avenue,,Florence,AL,35630,Show Full Address,2139,Dentures,logo.png,7154,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-FlorenceAL.com,affordabledentures-FlorenceAL.com,Yes,No,"Affordable Dentures - Florence II, P.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Florence, AL and opened in 2008. ",Yes,No,No,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,8:00 PM,Yes,Yes,Yes,Yes,yes,Stationary,"Florence, AL",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/florence-al,affordabledentures.com/office/florence-al,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/florence-al,affordabledentures-FlorenceAL.com
Corporate Spend,Ari Katz,Affordable Dentures - Tuscaloosa,Affordable Dentures,Affordable Dentures,Dentist,Kevin,"D. Hancock, DMD ",ad123@ad123.com,(205) 759-5122,"Sponsored, Organic",AdverSite,,$575.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,1516 Skyland Boulevard East,Spiller Market Centre,Tuscaloosa,AL,35405,Show Full Address,2139,Dentures,logo.png,7195,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-Tuscaloosa.com,affordabledentures-Tuscaloosa.com,Yes,No,"Affordable Dentures - Tuscaloosa, P.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Tuscaloosa, AL and opened in 2012.",Yes,No,No,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,9:00 PM,Yes,Yes,Yes,Yes,yes,Stationary,"Tuscaloosa, AL",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/tuscaloosa,affordabledentures.com/office/tuscaloosa,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/tuscaloosa,affordabledentures-Tuscaloosa.com
Corporate Spend,Ari Katz,Affordable Dentures - Macon,Affordable Dentures,Affordable Dentures,Dentist,Timmi,"J. Hagan, DMD ",ad123@ad123.com,(478) 471-0441,"Sponsored, Organic",AdverSite,,$775.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,4196 Cavalier Drive,,Macon,GA,31220,Show Full Address,2139,Dentures,logo.png,8025,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-Macon.com,affordabledentures-Macon.com,Yes,No,"Affordable Dentures - Macon, P.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Macon, GA and opened in 1995. ",Yes,No,No,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,10:00 PM,Yes,Yes,Yes,Yes,yes,Stationary,"Macon, GA",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/macon,affordabledentures.com/office/macon,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/macon,affordabledentures-Macon.com
